timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725178683968,86,GetReqres,200,OK,Konfigurasi beban 1-61,text,true,,1933,159,65,65,https://reqres.in/api/users?page=2,86,0,59
1725178683938,116,GetReqres,200,OK,Konfigurasi beban 1-59,text,true,,1937,159,65,65,https://reqres.in/api/users?page=2,116,0,88
1725178683983,74,GetReqres,200,OK,Konfigurasi beban 1-62,text,true,,1941,159,65,65,https://reqres.in/api/users?page=2,74,0,44
1725178683908,156,GetReqres,200,OK,Konfigurasi beban 1-57,text,true,,1932,159,66,66,https://reqres.in/api/users?page=2,156,0,119
1725178683695,369,PostReqres,201,Created,Konfigurasi beban 1-34,text,true,,934,223,66,66,https://reqres.in/api/users,369,0,0
1725178683695,372,DeleteReqres,204,No Content,Konfigurasi beban 1-10,,true,,804,176,66,66,https://reqres.in/api/users/2,0,0,0
1725178683923,148,GetReqres,200,OK,Konfigurasi beban 1-58,text,true,,1940,159,65,65,https://reqres.in/api/users?page=2,148,0,103
1725178683695,377,DeleteReqres,204,No Content,Konfigurasi beban 1-6,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684013,65,GetReqres,200,OK,Konfigurasi beban 1-64,text,true,,1933,159,65,65,https://reqres.in/api/users?page=2,64,0,39
1725178683695,392,DeleteReqres,204,No Content,Konfigurasi beban 1-5,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178683999,88,GetReqres,200,OK,Konfigurasi beban 1-63,text,true,,1940,159,65,65,https://reqres.in/api/users?page=2,88,0,53
1725178684028,62,GetReqres,200,OK,Konfigurasi beban 1-65,text,true,,1937,159,65,65,https://reqres.in/api/users?page=2,62,0,37
1725178683724,379,PostReqres,201,Created,Konfigurasi beban 1-35,text,true,,934,223,66,66,https://reqres.in/api/users,379,0,0
1725178683739,367,DeleteReqres,204,No Content,Konfigurasi beban 1-4,,true,,804,176,66,66,https://reqres.in/api/users/2,0,0,0
1725178683720,389,DeleteReqres,204,No Content,Konfigurasi beban 1-1,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178683588,522,PostReqres,201,Created,Konfigurasi beban 1-30,text,true,,934,223,64,64,https://reqres.in/api/users,522,0,0
1725178684044,75,GetReqres,200,OK,Konfigurasi beban 1-66,text,true,,1932,159,65,65,https://reqres.in/api/users?page=2,75,0,44
1725178683741,383,DeleteReqres,204,No Content,Konfigurasi beban 1-3,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684058,72,GetReqres,200,OK,Konfigurasi beban 1-67,text,true,,1933,159,64,64,https://reqres.in/api/users?page=2,72,0,44
1725178683724,412,PostReqres,201,Created,Konfigurasi beban 1-36,text,true,,934,223,65,65,https://reqres.in/api/users,412,0,0
1725178683620,520,DeleteReqres,204,No Content,Konfigurasi beban 1-7,,true,,804,176,65,65,https://reqres.in/api/users/2,0,0,0
1725178684074,66,GetReqres,200,OK,Konfigurasi beban 1-68,text,true,,1933,159,65,65,https://reqres.in/api/users?page=2,66,0,42
1725178683749,400,PostReqres,201,Created,Konfigurasi beban 1-41,text,true,,934,223,65,65,https://reqres.in/api/users,400,0,0
1725178683782,382,PostReqres,201,Created,Konfigurasi beban 1-37,text,true,,934,223,66,66,https://reqres.in/api/users,382,0,0
